Handedness,Extraversion,Hours of sleep,Pant leg,Sleep position
Right-handed,9,8.0,Right leg in first,On your right side
Right-handed,7,8.0,Right leg in first,On your left side
Right-handed,8,8.0,Right leg in first,On your stomach
Right-handed,8,8.0,Right leg in first,On your right side
Right-handed,6,7.0,Right leg in first,On your right side
Right-handed,7,7.0,Left leg in first,On your stomach
Right-handed,7,7.0,Left leg in first,On your back
Left-handed,3,7.0,Right leg in first,On your left side
Right-handed,8,7.0,Right leg in first,On your back
Left-handed,6,7.5,Left leg in first,On your left side
Right-handed,3,7.0,Right leg in first,On your left side
Right-handed,8,7.0,Right leg in first,On your stomach
Right-handed,4,6.0,Left leg in first,On your right side
Right-handed,5,6.0,Left leg in first,On your left side
Right-handed,10,7.0,I don't know,On your back
Right-handed,7,7.5,Left leg in first,On your right side
Right-handed,3,6.0,Left leg in first,On your stomach
Right-handed,9,7.0,Right leg in first,On your right side
Right-handed,4,6.0,Right leg in first,On your left side
Right-handed,5,7.0,Right leg in first,On your left side
Right-handed,7,6.0,I don't know,On your back
Right-handed,6,7.0,Right leg in first,On your back
Right-handed,7,9.0,Left leg in first,On your stomach
Right-handed,5,7.0,Right leg in first,On your stomach
Right-handed,7,6.0,Left leg in first,On your right side
Right-handed,8,7.0,I don't know,On your right side
Right-handed,3,7.0,Left leg in first,On your right side
Right-handed,7,7.0,Right leg in first,On your right side
Right-handed,5,8.0,Right leg in first,On your right side
Right-handed,7,6.0,Left leg in first,On your stomach
Right-handed,4,6.0,Right leg in first,On your right side
Right-handed,2,7.0,Right leg in first,On your left side
Right-handed,5,6.0,Right leg in first,On your right side
Right-handed,5,6.0,Right leg in first,On your stomach
Right-handed,9,6.0,Right leg in first,On your left side
Right-handed,6,7.0,Right leg in first,On your right side
Right-handed,8,7.0,Right leg in first,On your right side
Right-handed,7,7.0,Left leg in first,On your back
Right-handed,7,7.0,Right leg in first,On your left side
Right-handed,8,7.0,Right leg in first,On your back
Right-handed,5,6.0,Left leg in first,On your right side
Right-handed,6,8.5,Right leg in first,On your stomach
Right-handed,7,7.0,Right leg in first,On your left side
Left-handed,3,6.0,Left leg in first,On your right side
Right-handed,7,6.0,I don't know,On your back
Right-handed,6,6.0,Right leg in first,On your left side
Right-handed,7,7.0,Left leg in first,On your left side
Right-handed,5,8.0,Left leg in first,On your right side
Right-handed,6,7.0,Right leg in first,On your back
Right-handed,8,9.0,Right leg in first,On your left side
Right-handed,5,6.0,Right leg in first,On your left side
Right-handed,8,7.0,Left leg in first,On your left side
Right-handed,6,8.0,Right leg in first,On your stomach
Right-handed,3,7.0,I don't know,On your left side
Right-handed,2,8.0,I don't know,On your back
Right-handed,7,8.0,Right leg in first,On your right side
Right-handed,5,8.0,Left leg in first,On your right side
Right-handed,6,6.0,Right leg in first,On your back
Right-handed,6,7.0,Right leg in first,On your back
Right-handed,2,7.0,Right leg in first,On your back
Left-handed,8,7.0,Right leg in first,On your right side
Right-handed,8,7.0,Right leg in first,On your back
Right-handed,5,8.0,Left leg in first,On your back
Right-handed,3,7.0,Right leg in first,On your back
Right-handed,5,6.0,Right leg in first,On your right side
